GENESIS-Tabelle: 46241-007Z
Straßenverkehrsunfälle: Unfälle mit Personenschaden oder;;;;;;;;
Sachschaden, Verunglückte - Gemeinden;;;;;;;;
(Gebietsstand ab 01.01.23) - Jahre;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;
;;;Unfälle insgesamt (o.so.Sachsch.unf.);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i.e.S.;Sonst. Sachsch.unfall unt.Einwirk.berausch.Mittel;Getötete;Verletzte
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14523100;      Elsterberg, Stadt;2024;10;9;1;-;-;10
14523120;      Falkenstein/Vogtl., Stadt;2024;24;17;7;-;-;18
14523130;      Grünbach;2024;2;1;1;-;-;5
14523150;      Heinsdorfergrund;2024;14;9;5;-;1;13
14523160;      Klingenthal, Stadt;2024;25;19;5;1;2;21
14523170;      Lengenfeld, Stadt;2024;36;26;9;1;-;30
14523190;      Limbach;2024;12;11;1;-;-;15
14523200;      Markneukirchen, Stadt;2024;15;11;4;-;-;14
14523230;      Mühlental;2024;9;8;1;-;-;13
14523245;      Muldenhammer;2024;3;2;1;-;-;7
14523260;      Netzschkau, Stadt;2024;12;8;2;2;-;11
14523270;      Neuensalz;2024;29;20;7;2;-;38
14523280;      Neumark;2024;10;8;2;-;1;12
14523290;      Neustadt/Vogtl.;2024;8;6;2;-;-;8
14523300;      Oelsnitz/Vogtl., Stadt;2024;39;27;10;2;-;33
14523310;      Pausa-Mühltroff, Stadt;2024;21;9;10;2;-;9
14523320;      Plauen, Stadt, Hochschulstadt;2024;266;170;78;18;1;203
14523330;      Pöhl;2024;8;5;3;-;-;10
14523340;      Reichenbach im Vogtland, Stadt;2024;68;50;15;3;-;62
14523360;      Rodewisch, Stadt;2024;32;24;6;2;-;28
14523365;      Rosenbach/Vogtl.;2024;11;10;1;-;-;15
14523370;      Schöneck/Vogtl., Stadt;2024;20;14;5;1;-;19
14523380;      Steinberg;2024;6;4;2;-;-;4
14523410;      Theuma;2024;2;2;-;-;-;2
14523420;      Tirpersdorf;2024;2;2;-;-;-;2
14523430;      Treuen, Stadt;2024;29;19;9;1;-;24
14523440;      Triebel/Vogtl.;2024;3;3;-;-;-;4
14523450;      Weischlitz;2024;44;25;17;2;-;31
14523460;      Werda;2024;5;4;-;1;1;3
14524;    Zwickau, Landkreis;2024;1229;910;259;60;9;1105
14524010;      Bernsdorf;2024;4;4;-;-;-;5
14524020;      Callenberg;2024;24;20;4;-;-;28
14524030;      Crimmitschau, Stadt;2024;73;47;23;3;2;57
14524040;      Crinitzberg;2024;8;6;2;-;-;6
14524050;      Dennheritz;2024;23;17;6;-;-;25
14524060;      Fraureuth;2024;17;15;1;1;-;16
14524070;      Gersdorf;2024;10;6;4;-;-;9
14524080;      Glauchau, Stadt, Hochschulstadt;2024;93;75;14;4;1;97
14524090;      Hartenstein, Stadt;2024;39;29;9;1;-;39
14524100;      Hartmannsdorf b. Kirchberg;2024;7;4;3;-;-;8
14524110;      Hirschfeld;2024;10;5;3;2;-;5
14524120;      Hohenstein-Ernstthal, Stadt;2024;65;41;18;6;-;52
14524130;      Kirchberg, Stadt;2024;23;17;4;2;1;22
14524140;      Langenbernsdorf;2024;9;8;-;1;-;13
14524150;      Langenweißbach;2024;9;7;1;1;-;9
14524160;      Lichtenstein/Sa., Stadt;2024;36;27;9;-;-;30
14524170;      Lichtentanne;2024;35;25;8;2;1;28
14524180;      Limbach-Oberfrohna, Stadt;2024;62;49;8;5;1;54
14524190;      Meerane, Stadt;2024;55;38;15;2;-;42
14524200;      Mülsen;2024;36;29;7;-;1;36
14524210;      Neukirchen/Pleiße;2024;17;14;3;-;1;22
14524220;      Niederfrohna;2024;7;5;2;-;-;5
14524230;      Oberlungwitz, Stadt;2024;22;18;4;-;-;23
14524240;      Oberwiera;2024;4;4;-;-;-;7
14524250;      Reinsdorf;2024;24;15;9;-;-;16
14524260;      Remse;2024;8;7;1;-;-;10
14524270;      Schönberg;2024;3;2;1;-;-;2
