GENESIS-Tabelle: 46251-003Z
Kfz-Bestand: Bestand, Kfz-Arten(4);;;;;;;
- Gemeinden (GS ab 01.01.23);;;;;;;
- Stichtage: bis 2000 am 01.07., bis 2010 am 01.01.;;;;;;;
Statistik des Kfz - und Anhängerbestandes;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;
;;;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart
;;;Insgesamt;Pkw insgesamt;Lkw insgesamt;Zugmaschinen insgesamt;Krafträder, zwei-, drei- und leichte vierrädr. Kfz
14521240;      Großolbersdorf;01.01.2010;2337;1785;154;137;246
14521250;      Großrückerswalde;01.01.2010;2590;2140;150;94;194
14521260;      Grünhain-Beierfeld, Stadt;01.01.2010;4206;3539;310;88;256
14521270;      Grünhainichen;01.01.2010;2696;2200;169;.;254
14521280;      Heidersdorf;01.01.2010;627;504;43;.;49
14521290;      Hohndorf;01.01.2010;2426;2119;117;.;167
14521310;      Jahnsdorf/Erzgeb.;01.01.2010;4237;3514;324;.;304
14521320;      Johanngeorgenstadt, Stadt;01.01.2010;2768;2389;154;47;166
14521330;      Jöhstadt, Stadt;01.01.2010;2065;1716;101;43;193
14521340;      Königswalde;01.01.2010;1545;1305;75;.;97
14521355;      Lauter-Bernsbach, Stadt;01.01.2010;5983;5120;377;.;399
14521370;      Lößnitz, Stadt;01.01.2010;5931;5081;369;123;330
14521380;      Lugau/Erzgeb., Stadt;01.01.2010;5694;4899;287;.;367
14521390;      Marienberg, Stadt;01.01.2010;12552;10514;662;.;916
14521400;      Mildenau;01.01.2010;2585;2166;109;103;196
14521410;      Neukirchen/Erzgeb.;01.01.2010;5238;4310;496;73;326
14521420;      Niederdorf;01.01.2010;1178;902;170;27;66
14521430;      Niederwürschnitz;01.01.2010;1845;1544;120;25;139
14521440;      Oberwiesenthal, Kurort, Stadt;01.01.2010;1539;1325;89;31;83
14521450;      Oelsnitz/Erzgeb., Stadt;01.01.2010;7783;6592;535;101;503
14521460;      Olbernhau, Stadt;01.01.2010;8311;6971;550;212;522
14521495;      Pockau-Lengefeld, Stadt;01.01.2010;5948;4810;375;246;476
14521500;      Raschau-Markersbach;01.01.2010;3757;3107;244;108;283
14521510;      Scheibenberg, Stadt;01.01.2010;1534;1242;114;.;142
14521520;      Schlettau, Stadt;01.01.2010;1732;1417;112;95;92
14521530;      Schneeberg, Stadt;01.01.2010;9168;7986;525;101;521
14521540;      Schönheide;01.01.2010;3078;2620;195;62;177
14521550;      Schwarzenberg/Erzgeb., Stadt;01.01.2010;11959;10197;838;187;672
14521560;      Sehmatal;01.01.2010;4439;3796;283;67;273
14521570;      Seiffen/Erzgeb., Kurort;01.01.2010;1657;1394;116;.;108
14521590;      Stollberg/Erzgeb., Stadt;01.01.2010;7577;6438;491;206;382
14521600;      Stützengrün;01.01.2010;2672;2162;202;122;169
14521610;      Tannenberg;01.01.2010;782;653;54;.;50
14521620;      Thalheim/Erzgeb., Stadt;01.01.2010;4089;3575;224;41;238
14521630;      Thermalbad Wiesenbad;01.01.2010;2572;2084;180;66;205
14521640;      Thum, Stadt;01.01.2010;3654;3059;222;91;265
14521670;      Wolkenstein, Stadt;01.01.2010;2947;2405;164;113;251
14521690;      Zschopau, Stadt, Motorradstadt;01.01.2010;6547;5507;368;61;527
14521700;      Zschorlau;01.01.2010;3882;3374;189;96;202
14521710;      Zwönitz, Stadt;01.01.2010;8642;7096;616;.;595
14522;    Mittelsachsen, Landkreis;01.01.2010;218233;180974;14842;6665;14036
14522010;      Altmittweida;01.01.2010;1663;1360;125;62;103
14522020;      Augustusburg, Stadt;01.01.2010;3411;2871;202;.;286
14522035;      Bobritzsch-Hilbersdorf;01.01.2010;4210;3457;239;.;318
